signalType,detectedAt,score,entryTime,entryPrice,entryFamily,stop,targetPrice,splitTargetPrices,exitTime,exitPrice,exitReason,holdingHours,grossR,feeCostR,slippageCostR,costsR,netR,symbol,support,relVol,signalLow,dailyAtr,configurationId,stage
0Day,1657058400000,44.63107237076663,1657220400000,9.478737,breakout,8.42367,11.0613375,,1657580400000,8.419458165,stop,100,-0.995510237738,0.008482018282,0.008481769404,0.016963787686,-1.012474025424,ATOM,8.466,1.6773504290315036,8.38,0.7790714285714283,breakout:support:fixed:1.5:score0:relvol-1-4,development
1Day,1657756800000,76.2777300055585,1657821600000,4.6653315,breakout,4.16109,,,1659031200000,7.182407,time-14d,336,5.003554844256,0.011748079541,0.01174933043,0.023497409971,4.980057434285,APE,4.209,1.074395045328176,4.182,0.39235714285714296,breakout:sweep:time:14:score70:relvol-1-4,development
1Day,1657756800000,73.01501745157299,1657825200000,0.10631313,breakout,0.0982861,,,1659034800000,0.115092425,time-14d,336,1.10750800732,0.013791250002,0.013791526879,0.02758277688,1.07992523044,XLM,0.1,1.3784433475554456,0.09878,0.006279999999999998,breakout:sweep:time:14:score70:relvol-1-4,development
0Day,1658268000000,54.24788702483837,1658300400000,10.7003475,breakout,10.04154,11.68855875,,1658340000000,10.03651923,stop,11,-0.991883061441,0.015738183559,0.015737935588,0.031476119147,-1.023359180588,NEO,10.092,1.1321481518402632,9.963,0.6532857142857142,breakout:support:fixed:1.5:score0:relvol-1-4,development
1Day,1658188800000,70.53666219277392,1658448000000,1.402701,breakout,1.067635,,,1659657600000,1.327336,time-14d,336,-0.220852011246,0.004073879474,0.004073824261,0.008147703736,-0.228999714982,CRV,1.086,1.505632810793956,1.073,0.11142857142857147,breakout:sweep:time:14:score70:relvol-1-4,development
0Day,1658422800000,52.5697119987001,1658451600000,0.62461215,breakout,0.573717,0.700954875,,1658599200000,0.5734301415,stop,41,-0.993866802632,0.0117697098,0.011769461334,0.023539171134,-1.017405973767,ENJ,0.5766,1.4252403612842477,0.5706,0.047450000000000006,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1658782800000,62.478927225357296,1659020400000,1.4457225,breakout,1.268625,1.71136875,,1660230000000,1.581209,time-14d,336,0.77358517201,0.008545946442,0.008546139838,0.01709208628,0.75649308573,SUSHI,1.275,1.0766110187313527,1.262,0.13978571428571432,breakout:support:fixed:1.5:score0:relvol-1-4,development
1Day,1658966400000,78.6146400854852,1659024000000,0.11479737,breakout,0.1028034,,,1660233600000,0.124587675,time-14d,336,0.826248523216,0.009979391519,0.009979598081,0.019958989601,0.806289533616,XLM,0.10433,1.3137304150299698,0.10332,0.006233571428571428,breakout:sweep:time:14:score70:relvol-1-4,development
0Day,1660762800000,25.159338808589766,1660784400000,16.0510215,breakout,14.750875,18.00124125,,1660813200000,14.7434995625,stop,8,-0.993830310661,0.01184271198,0.011842463522,0.023685175502,-1.017515486163,ENS,14.825,1.096188586189689,14.55,1.4607142857142854,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1661263200000,73.03794469545761,1661356800000,1.2176085,breakout,1.067635,1.44256875,,1661554800000,1.0671011825,stop,55,-0.995942616529,0.00761704462,0.007616795634,0.015233840253,-1.011176456782,CRV,1.073,1.2131396732218669,1.064,0.12007142857142869,breakout:support:fixed:1.5:score0:relvol-1-4,development
