config_id,lookback,swing_side,support_tolerance,stop_buffer,reward_risk,slippage,commission_per_side,min_body_ratio,close_top_fraction,trend_sma,volume_multiplier
0,10,3,0.0015,0.001,3.0,0.0003,0.0005,0.3,0.2,0,0.0
1,10,3,0.0015,0.0025,3.0,0.0003,0.0005,0.3,0.2,0,0.0
2,10,3,0.0015,0.005,3.0,0.0003,0.0005,0.3,0.2,0,0.0
3,10,3,0.0015,0.001,3.0,0.0003,0.0005,0.3,0.2,0,1.0
4,10,3,0.0015,0.0025,3.0,0.0003,0.0005,0.3,0.2,0,1.0
5,10,3,0.0015,0.005,3.0,0.0003,0.0005,0.3,0.2,0,1.0
6,10,3,0.0015,0.001,3.0,0.0003,0.0005,0.3,0.2,0,1.25
7,10,3,0.0015,0.0025,3.0,0.0003,0.0005,0.3,0.2,0,1.25
8,10,3,0.0015,0.005,3.0,0.0003,0.0005,0.3,0.2,0,1.25
9,10,3,0.0015,0.001,3.0,0.0003,0.0005,0.3,0.2,0,1.5
10,10,3,0.0015,0.0025,3.0,0.0003,0.0005,0.3,0.2,0,1.5
11,10,3,0.0015,0.005,3.0,0.0003,0.0005,0.3,0.2,0,1.5
12,10,3,0.0015,0.001,3.0,0.0003,0.0005,0.3,0.2,100,0.0
13,10,3,0.0015,0.0025,3.0,0.0003,0.0005,0.3,0.2,100,0.0
14,10,3,0.0015,0.005,3.0,0.0003,0.0005,0.3,0.2,100,0.0
15,10,3,0.0015,0.001,3.0,0.0003,0.0005,0.3,0.2,100,1.0
16,10,3,0.0015,0.0025,3.0,0.0003,0.0005,0.3,0.2,100,1.0
17,10,3,0.0015,0.005,3.0,0.0003,0.0005,0.3,0.2,100,1.0
18,10,3,0.0015,0.001,3.0,0.0003,0.0005,0.3,0.2,100,1.25
19,10,3,0.0015,0.0025,3.0,0.0003,0.0005,0.3,0.2,100,1.25
20,10,3,0.0015,0.005,3.0,0.0003,0.0005,0.3,0.2,100,1.25
21,10,3,0.0015,0.001,3.0,0.0003,0.0005,0.3,0.2,100,1.5
22,10,3,0.0015,0.0025,3.0,0.0003,0.0005,0.3,0.2,100,1.5
23,10,3,0.0015,0.005,3.0,0.0003,0.0005,0.3,0.2,100,1.5
24,10,3,0.0015,0.001,3.0,0.0003,0.0005,0.3,0.2,200,0.0
