symbol,split,config_id,trades,win_rate,expectancy_r,profit_factor,max_drawdown_r
BTCUSDT,development,0,4,0.0,-1.0000000000000007,0.0,-3.0000000000000036
ETHUSDT,development,0,2,0.5,0.9481825436321343,2.8963650872642703,-0.9999999999999991
BTCUSDT,development,1,4,0.0,-1.0000000000000004,0.0,-3.0000000000000027
ETHUSDT,development,1,2,0.5,0.9496155541950699,2.8992311083901416,-0.9999999999999991
BTCUSDT,development,2,4,0.0,-0.9999999999999999,0.0,-3.0000000000000004
ETHUSDT,development,2,2,0.5,0.9518355329093566,2.9036710658187146,-0.9999999999999991
BTCUSDT,development,3,2,0.0,-1.0000000000000007,0.0,-1.0000000000000022
ETHUSDT,development,3,1,0.0,-0.9999999999999991,0.0,0.0
BTCUSDT,development,4,2,0.0,-1.0000000000000002,0.0,-1.0000000000000013
ETHUSDT,development,4,1,0.0,-0.9999999999999991,0.0,0.0
BTCUSDT,development,5,2,0.0,-0.9999999999999996,0.0,-0.9999999999999999
ETHUSDT,development,5,1,0.0,-0.9999999999999992,0.0,0.0
BTCUSDT,development,6,1,0.0,-1.0000000000000022,0.0,0.0
ETHUSDT,development,6,0,,,,0.0
BTCUSDT,development,7,1,0.0,-1.0000000000000013,0.0,0.0
ETHUSDT,development,7,0,,,,0.0
BTCUSDT,development,8,1,0.0,-1.0,0.0,0.0
ETHUSDT,development,8,0,,,,0.0
BTCUSDT,development,9,0,,,,0.0
ETHUSDT,development,9,0,,,,0.0
BTCUSDT,development,10,0,,,,0.0
ETHUSDT,development,10,0,,,,0.0
BTCUSDT,development,11,0,,,,0.0
ETHUSDT,development,11,0,,,,0.0
BTCUSDT,development,12,1,0.0,-0.9999999999999992,0.0,0.0
ETHUSDT,development,12,1,1.0,2.8963650872642677,inf,0.0
BTCUSDT,development,13,1,0.0,-0.9999999999999992,0.0,0.0
ETHUSDT,development,13,1,1.0,2.899231108390139,inf,0.0
BTCUSDT,development,14,1,0.0,-0.9999999999999992,0.0,0.0
ETHUSDT,development,14,1,1.0,2.9036710658187124,inf,0.0
BTCUSDT,development,15,1,0.0,-0.9999999999999992,0.0,0.0
ETHUSDT,development,15,0,,,,0.0
BTCUSDT,development,16,1,0.0,-0.9999999999999992,0.0,0.0
ETHUSDT,development,16,0,,,,0.0
BTCUSDT,development,17,1,0.0,-0.9999999999999992,0.0,0.0
ETHUSDT,development,17,0,,,,0.0
BTCUSDT,development,18,0,,,,0.0
ETHUSDT,development,18,0,,,,0.0
BTCUSDT,development,19,0,,,,0.0
ETHUSDT,development,19,0,,,,0.0
BTCUSDT,development,20,0,,,,0.0
ETHUSDT,development,20,0,,,,0.0
BTCUSDT,development,21,0,,,,0.0
ETHUSDT,development,21,0,,,,0.0
BTCUSDT,development,22,0,,,,0.0
ETHUSDT,development,22,0,,,,0.0
BTCUSDT,development,23,0,,,,0.0
ETHUSDT,development,23,0,,,,0.0
BTCUSDT,development,24,0,,,,0.0
ETHUSDT,development,24,2,0.5,0.9481825436321343,2.8963650872642703,-0.9999999999999991
BTCUSDT,development,25,0,,,,0.0
ETHUSDT,development,25,2,0.5,0.9496155541950699,2.8992311083901416,-0.9999999999999991
BTCUSDT,development,26,0,,,,0.0
ETHUSDT,development,26,2,0.5,0.9518355329093566,2.9036710658187146,-0.9999999999999991
BTCUSDT,development,27,0,,,,0.0
ETHUSDT,development,27,1,0.0,-0.9999999999999991,0.0,0.0
BTCUSDT,development,28,0,,,,0.0
ETHUSDT,development,28,1,0.0,-0.9999999999999991,0.0,0.0
BTCUSDT,development,29,0,,,,0.0
ETHUSDT,development,29,1,0.0,-0.9999999999999992,0.0,0.0
BTCUSDT,development,30,0,,,,0.0
ETHUSDT,development,30,0,,,,0.0
BTCUSDT,development,31,0,,,,0.0
ETHUSDT,development,31,0,,,,0.0
BTCUSDT,development,32,0,,,,0.0
ETHUSDT,development,32,0,,,,0.0
BTCUSDT,development,33,0,,,,0.0
ETHUSDT,development,33,0,,,,0.0
BTCUSDT,development,34,0,,,,0.0
ETHUSDT,development,34,0,,,,0.0
BTCUSDT,development,35,0,,,,0.0
ETHUSDT,development,35,0,,,,0.0
BTCUSDT,development,36,3,0.0,-1.0000000000000007,0.0,-2.000000000000003
ETHUSDT,development,36,1,0.0,-0.9999999999999991,0.0,0.0
BTCUSDT,development,37,3,0.0,-1.0000000000000007,0.0,-2.0000000000000027
ETHUSDT,development,37,1,0.0,-0.9999999999999991,0.0,0.0
BTCUSDT,development,38,3,0.0,-1.0000000000000002,0.0,-2.0000000000000013
ETHUSDT,development,38,1,0.0,-0.9999999999999992,0.0,0.0
BTCUSDT,development,39,2,0.0,-1.0000000000000007,0.0,-1.0000000000000022
ETHUSDT,development,39,1,0.0,-0.9999999999999991,0.0,0.0
BTCUSDT,development,40,2,0.0,-1.0000000000000002,0.0,-1.0000000000000013
ETHUSDT,development,40,1,0.0,-0.9999999999999991,0.0,0.0
BTCUSDT,development,41,2,0.0,-0.9999999999999996,0.0,-0.9999999999999999
ETHUSDT,development,41,1,0.0,-0.9999999999999992,0.0,0.0
BTCUSDT,development,42,1,0.0,-1.0000000000000022,0.0,0.0
ETHUSDT,development,42,0,,,,0.0
BTCUSDT,development,43,1,0.0,-1.0000000000000013,0.0,0.0
ETHUSDT,development,43,0,,,,0.0
BTCUSDT,development,44,1,0.0,-1.0,0.0,0.0
ETHUSDT,development,44,0,,,,0.0
BTCUSDT,development,45,0,,,,0.0
ETHUSDT,development,45,0,,,,0.0
BTCUSDT,development,46,0,,,,0.0
ETHUSDT,development,46,0,,,,0.0
BTCUSDT,development,47,0,,,,0.0
ETHUSDT,development,47,0,,,,0.0
BTCUSDT,development,48,1,0.0,-0.9999999999999992,0.0,0.0
ETHUSDT,development,48,0,,,,0.0
BTCUSDT,development,49,1,0.0,-0.9999999999999992,0.0,0.0
ETHUSDT,development,49,0,,,,0.0
BTCUSDT,development,50,1,0.0,-0.9999999999999992,0.0,0.0
