config_id,lookback,swing_side,support_tolerance,stop_buffer,reward_risk,slippage,commission_per_side,min_body_ratio,close_top_fraction,trend_sma,volume_multiplier
0,60,3,0.003,0.001,3.0,0.0003,0.0005,0.3,0.2,0,0.0
1,60,3,0.003,0.005,3.0,0.0003,0.0005,0.3,0.2,0,0.0
2,60,3,0.003,0.001,3.0,0.0003,0.0005,0.3,0.2,100,0.0
3,60,3,0.003,0.005,3.0,0.0003,0.0005,0.3,0.2,100,0.0
4,60,3,0.003,0.001,3.0,0.0003,0.0005,0.3,0.3,0,0.0
5,60,3,0.003,0.005,3.0,0.0003,0.0005,0.3,0.3,0,0.0
6,60,3,0.003,0.001,3.0,0.0003,0.0005,0.3,0.3,100,0.0
7,60,3,0.003,0.005,3.0,0.0003,0.0005,0.3,0.3,100,0.0
8,60,3,0.003,0.001,3.0,0.0003,0.0005,0.5,0.2,0,0.0
9,60,3,0.003,0.005,3.0,0.0003,0.0005,0.5,0.2,0,0.0
10,60,3,0.003,0.001,3.0,0.0003,0.0005,0.5,0.2,100,0.0
11,60,3,0.003,0.005,3.0,0.0003,0.0005,0.5,0.2,100,0.0
12,60,3,0.003,0.001,3.0,0.0003,0.0005,0.5,0.3,0,0.0
13,60,3,0.003,0.005,3.0,0.0003,0.0005,0.5,0.3,0,0.0
14,60,3,0.003,0.001,3.0,0.0003,0.0005,0.5,0.3,100,0.0
15,60,3,0.003,0.005,3.0,0.0003,0.0005,0.5,0.3,100,0.0
16,60,3,0.0075,0.001,3.0,0.0003,0.0005,0.3,0.2,0,0.0
17,60,3,0.0075,0.005,3.0,0.0003,0.0005,0.3,0.2,0,0.0
18,60,3,0.0075,0.001,3.0,0.0003,0.0005,0.3,0.2,100,0.0
19,60,3,0.0075,0.005,3.0,0.0003,0.0005,0.3,0.2,100,0.0
20,60,3,0.0075,0.001,3.0,0.0003,0.0005,0.3,0.3,0,0.0
21,60,3,0.0075,0.005,3.0,0.0003,0.0005,0.3,0.3,0,0.0
22,60,3,0.0075,0.001,3.0,0.0003,0.0005,0.3,0.3,100,0.0
23,60,3,0.0075,0.005,3.0,0.0003,0.0005,0.3,0.3,100,0.0
24,60,3,0.0075,0.001,3.0,0.0003,0.0005,0.5,0.2,0,0.0
25,60,3,0.0075,0.005,3.0,0.0003,0.0005,0.5,0.2,0,0.0
26,60,3,0.0075,0.001,3.0,0.0003,0.0005,0.5,0.2,100,0.0
27,60,3,0.0075,0.005,3.0,0.0003,0.0005,0.5,0.2,100,0.0
28,60,3,0.0075,0.001,3.0,0.0003,0.0005,0.5,0.3,0,0.0
29,60,3,0.0075,0.005,3.0,0.0003,0.0005,0.5,0.3,0,0.0
30,60,3,0.0075,0.001,3.0,0.0003,0.0005,0.5,0.3,100,0.0
31,60,3,0.0075,0.005,3.0,0.0003,0.0005,0.5,0.3,100,0.0
