trough_similarity,support_tolerance,retest_tolerance,trades,mean_net_r,profit_factor,net_r,total_net_pnl,return_pct
0.02,0.01,0.005,29,0.416456522794022,2.2190972273855487,12.077239161026638,12507.551669388171,0.1250755166938817
0.02,0.01,0.01,32,0.36747272041677126,1.952334193881375,11.75912705333668,12099.465410246758,0.12099465410246757
0.02,0.01,0.02,33,0.3510748948882778,1.9257636179709907,11.585471531313168,11904.826434147652,0.11904826434147651
0.02,0.02,0.005,65,0.3223760938460495,1.7688467598935644,20.954446099993216,21997.373496043827,0.21997373496043826
0.02,0.02,0.01,66,0.352820097312656,1.8838150133384488,23.286126422635295,24852.323544612995,0.24852323544612995
0.02,0.02,0.02,68,0.2958445464777629,1.7251605013330065,20.11742916048788,20962.79818363825,0.2096279818363825
0.02,0.03,0.005,80,0.2841316794253889,1.602152044411079,22.730534354031114,23852.305405080435,0.23852305405080435
0.02,0.03,0.01,81,0.309321979691291,1.6820714044683023,25.05508035499457,26728.817506350344,0.26728817506350344
0.02,0.03,0.02,85,0.30400682194598017,1.6683867477793815,25.840579865408316,27607.33527542181,0.2760733527542181
0.03,0.01,0.005,29,0.416456522794022,2.2190972273855487,12.077239161026638,12507.551669388171,0.1250755166938817
0.03,0.01,0.01,32,0.36747272041677126,1.952334193881375,11.75912705333668,12099.465410246758,0.12099465410246757
0.03,0.01,0.02,33,0.3510748948882778,1.9257636179709907,11.585471531313168,11904.826434147652,0.11904826434147651
0.03,0.02,0.005,69,0.3600464449741408,1.8959440319948848,24.843204703215715,26568.868700375428,0.26568868700375425
0.03,0.02,0.01,70,0.38822311496686923,2.0147483568412716,27.175618047680846,29531.768992989433,0.2953176899298943
0.03,0.02,0.02,72,0.33264036418991627,1.8484817544520122,23.950106221673973,25424.825872992995,0.25424825872992995
0.03,0.03,0.005,90,0.2651019949997807,1.5382752761949638,23.85917954998026,24881.17036638971,0.2488117036638971
0.03,0.03,0.01,93,0.2919646640649631,1.612266404873861,27.152713758041564,28893.225140493196,0.28893225140493195
0.03,0.03,0.02,96,0.2573497832317493,1.5397508945562293,24.70557919024793,25810.55793924148,0.2581055793924148
0.05,0.01,0.005,29,0.416456522794022,2.2190972273855487,12.077239161026638,12507.551669388171,0.1250755166938817
0.05,0.01,0.01,32,0.36747272041677126,1.952334193881375,11.75912705333668,12099.465410246758,0.12099465410246757
0.05,0.01,0.02,33,0.3510748948882778,1.9257636179709907,11.585471531313168,11904.826434147652,0.11904826434147651
0.05,0.02,0.005,69,0.3600464449741408,1.8959440319948848,24.843204703215715,26568.868700375428,0.26568868700375425
0.05,0.02,0.01,70,0.38822311496686923,2.0147483568412716,27.175618047680846,29531.768992989433,0.2953176899298943
0.05,0.02,0.02,72,0.33264036418991627,1.8484817544520122,23.950106221673973,25424.825872992995,0.25424825872992995
0.05,0.03,0.005,95,0.23707312130715236,1.4620950714946728,22.521946524179473,23067.63351566045,0.23067633515660452
0.05,0.03,0.01,98,0.2634217216602383,1.530562253171572,25.815328722703352,27021.173977267368,0.2702117397726737
0.05,0.03,0.02,101,0.23340571531725626,1.4724073061011995,23.573977247042883,24235.296497944964,0.24235296497944964
