symbol,first_trough_idx,second_trough_idx,first_trough_date,second_trough_date,first_trough_low,second_trough_low,neckline,support_touch_count,breakout_idx,breakout_date,retest_idx,retest_date,entry_idx,entry_date,entry_price,initial_stop,risk_per_unit,target_price,breakeven_trigger,exit_idx,exit_date,exit_price,exit_reason,holding_bars,gross_r,quantity,risk_amount,gross_pnl,entry_fee,exit_fee,fees,net_pnl,net_r,equity_before_entry,equity_after_entry,equity_after_exit,concurrent_open_risk,concurrent_open_risk_pct
BTCUSDT,386,397,2018-09-08,2018-09-19,6111.0,6123.0,6584.99,4,400,2018-09-22,405,2018-09-27,406,2018-09-28,6689.12,6049.89,639.2299999999996,7967.579999999999,7328.349999999999,424,2018-10-16,6689.12,breakeven,19,0.0,1.5643821472709365,1000.0,0.0,10.464339908952967,10.464339908952967,20.928679817905934,-20.928679817905934,-0.020928679817905933,100000.0,99989.53566009105,99979.07132018209,1000.0,0.01
BTCUSDT,558,563,2019-02-27,2019-03-04,3677.17,3670.69,3888.0,2,568,2019-03-09,569,2019-03-10,570,2019-03-11,3915.99,3633.9831,282.00689999999986,4480.0037999999995,4197.9969,592,2019-04-02,4480.0037999999995,target,23,2.0,3.545270393035849,999.790713201821,1999.581426403642,13.883243406424453,15.882824832828096,29.766068239252547,1969.8153581643894,1.9702277008115758,99979.07132018209,99965.18807677567,101948.88667834648,999.790713201821,0.01
BTCUSDT,643,657,2019-05-23,2019-06-06,7461.0,7444.58,9074.26,2,668,2019-06-17,669,2019-06-18,670,2019-06-19,9081.97,7370.1341999999995,1711.8357999999998,12505.641599999999,10793.805799999998,677,2019-06-26,12505.641599999999,target,8,2.0,0.5955529536089063,1019.4888667834648,2038.9777335669296,5.408794058087478,7.447771791654408,12.856565849741887,2026.1211677171877,1.9873892042683066,101948.88667834648,101943.47788428838,103975.00784606366,1019.4888667834648,0.01
BTCUSDT,780,791,2019-10-07,2019-10-18,7762.0,7816.01,8779.51,3,799,2019-10-26,813,2019-11-09,814,2019-11-10,8809.18,7684.38,1124.8000000000002,11058.78,9933.98,825,2019-11-21,7684.38,stop,12,-1.0,0.9243866273654306,1039.7500784606366,-1039.7500784606366,8.143088190055005,7.103338111594368,15.246426301649374,-1054.996504762286,-1.014663549075391,103975.00784606366,103966.8647578736,102920.01134130136,1039.7500784606366,0.01
BTCUSDT,829,852,2019-11-25,2019-12-18,6515.0,6435.0,7850.0,6,872,2020-01-07,873,2020-01-08,874,2020-01-09,8054.72,6370.65,1684.0700000000006,11422.86,9738.79,933,2020-03-08,8054.72,breakeven,60,0.0,0.6111385592125109,1029.2001134130137,0.0,4.922549975660196,4.922549975660196,9.845099951320393,-9.845099951320393,-0.009565778144613938,102920.01134130136,102915.0887913257,104949.88408843485,1029.2001134130137,0.01
DOGEUSDT,153,187,2019-12-06,2020-01-09,0.0021001,0.0020642,0.0022933,2,192,2020-01-14,194,2020-01-16,195,2020-01-17,0.0023343,0.002043558,0.0002907420000000001,0.0029157840000000003,0.002625042,217,2020-02-08,0.0029157840000000003,target,23,2.0,3539739.3149708565,1029.150887913257,2058.301775826514,8.26281348293647,10.321115258762985,18.583928741699456,2039.7178470848146,1.9819424644530201,102915.0887913257,102906.82597784276,104954.8066384105,2058.3510013262708,0.020000478311784354
ETHUSDT,990,1007,2020-05-04,2020-05-21,194.88,191.71,217.07,5,1014,2020-05-28,1015,2020-05-29,1016,2020-05-30,220.63,189.7929,30.837099999999992,282.3042,251.4671,1032,2020-06-15,220.63,breakeven,17,0.0,34.0336426215289,1049.4988408843485,0.0,7.508842571587921,7.508842571587921,15.017685143175841,-15.017685143175841,-0.014309387069471517,104949.88408843485,104942.37524586325,104934.86640329166,1049.4988408843485,0.01
BTCUSDT,1044,1052,2020-06-27,2020-07-05,8833.0,8893.03,9292.0,3,1055,2020-07-08,1059,2020-07-12,1060,2020-07-13,9303.31,8744.67,558.6399999999994,10420.589999999998,9861.949999999999,1074,2020-07-27,10420.589999999998,target,15,2.0,1.878398725535081,1049.3486640329165,2098.697328065833,17.475325647257776,19.574022975323604,37.04934862258138,2061.6479794432516,1.9646930044393527,104934.86640329166,104917.3910776444,106996.51438273491,1049.3486640329165,0.01
ETHUSDT,1085,1090,2020-08-07,2020-08-12,362.85,365.85,400.0,2,1093,2020-08-15,1097,2020-08-19,1098,2020-08-20,407.46,359.2215,48.23849999999999,503.93699999999995,455.69849999999997,1112,2020-09-03,407.46,breakeven,15,0.0,22.18072999424421,1069.965143827349,0.0,9.037760243454747,9.037760243454747,18.075520486909493,-18.075520486909493,-0.016893560123138165,106996.51438273491,106987.47662249145,106978.43886224799,1069.965143827349,0.01
DOGEUSDT,454,460,2020-10-02,2020-10-08,0.0025307,0.002541,0.00268,6,489,2020-11-06,491,2020-11-08,492,2020-11-09,0.002707,0.002505393,0.00020160700000000035,0.003110214000000001,0.0029086070000000006,504,2020-11-21,0.003110214000000001,target,13,2.0,5306285.935619686,1069.7843886224798,2139.5687772449596,14.36411602772249,16.503684804967452,30.867800832689944,2108.7009764122695,1.971145773708254,106978.43886224799,106964.07474622027,109087.13983866027,1069.7843886224798,0.009999999999999998
DOGEUSDT,446,482,2020-09-24,2020-10-30,0.0025277,0.002501,0.0029115,5,500,2020-11-17,503,2020-11-20,504,2020-11-21,0.0029872,0.00247599,0.0005112100000000002,0.00400962,0.0034984100000000004,507,2020-11-24,0.00400962,target,4,1.9999999999999991,2133900.7421345483,1090.8713983866028,2181.7427967732046,6.374388296904324,8.556131093677529,14.930519390581853,2166.8122773826226,1.9863132176600604,109087.13983866027,109080.76545036337,111253.9521160429,1090.8713983866028,0.01
BTCUSDT,1404,1432,2021-06-22,2021-07-20,28805.0,29278.0,36600.0,2,1438,2021-07-26,1439,2021-07-27,1440,2021-07-28,39456.61,28516.95,10939.66,61335.93,50396.270000000004,1500,2021-09-26,42670.63,time,60,0.2937952367806675,0.10169781521184654,1112.539521160429,326.8588120471787,4.012651032665897,4.339509844713075,8.35216087737897,318.5066511697997,0.28628794313534395,111253.9521160429,111249.93946501023,111569.13672281546,1112.539521160429,0.01
ETHUSDT,1404,1432,2021-06-22,2021-07-20,1700.48,1706.0,2409.0,3,1442,2021-07-30,1443,2021-07-31,1444,2021-08-01,2531.1,1683.4752,847.6247999999998,4226.3496,3378.7248,1504,2021-09-30,2850.45,time,60,0.37675867907593075,1.3124903785850799,1112.4993946501024,419.14380240114514,3.3220443972366955,3.7411881996378407,7.063232596874537,412.0805698042706,0.3704097025004459,111249.93946501023,111246.617420613,111984.53933701696,2225.0389158105318,0.02000036068792954
BTCUSDT,1882,1890,2022-10-13,2022-10-21,18190.0,18650.0,19951.87,3,1894,2022-10-25,1895,2022-10-26,1896,2022-10-27,20771.61,18008.1,2763.510000000002,26298.630000000005,23535.120000000003,1908,2022-11-08,18008.1,stop,13,-1.0,0.40522574312022347,1119.8453933701696,-1119.8453933701696,8.417191098053465,7.297345704683296,15.71453680273676,-1135.5599301729064,-1.0140327735380006,111984.53933701696,111976.12214591891,110848.97940684405,1119.8453933701696,0.01
ETHUSDT,1949,1958,2022-12-19,2022-12-28,1150.51,1181.06,1237.99,2,1965,2023-01-04,1966,2023-01-05,1967,2023-01-06,1251.25,1139.0049,112.2451000000001,1475.7402000000002,1363.4951,1975,2023-01-14,1475.7402000000002,target,9,2.0,9.87561857104176,1108.4897940684405,2216.979588136881,12.356867737016005,14.573847325152885,26.93071506216889,2190.048873074712,1.9757050401309277,110848.97940684405,110836.62253910703,115218.45579206136,1108.4897940684405,0.01
BTCUSDT,1949,1960,2022-12-19,2022-12-30,16256.3,16333.0,17061.27,2,1969,2023-01-08,1970,2023-01-09,1971,2023-01-10,17179.04,16093.737,1085.3030000000017,19349.646000000004,18264.343,1974,2023-01-13,19349.646000000004,target,4,2.0,1.0212504944619785,1108.3662253910704,2216.732450782141,17.544103094382105,19.760835545164248,37.30493863954635,2179.4275121425944,1.9663424076041438,110836.62253910703,110819.07843601266,113016.05005124964,2216.856019459511,0.02000111487227362
ETHUSDT,1979,1986,2023-01-18,2023-01-25,1501.39,1518.0,1679.26,4,2009,2023-02-17,2010,2023-02-18,2011,2023-02-19,1691.62,1486.3761000000002,205.2438999999997,2102.1077999999993,1896.8638999999996,2029,2023-03-09,1486.3761000000002,stop,19,-1.0,5.613733503995077,1152.1845579206135,-1152.1845579206135,9.49630387002815,8.344119312107537,17.840423182135687,-1170.0249811027493,-1.01548399781918,115218.45579206136,115208.95948819134,114048.43081095861,1152.1845579206135,0.01
ETHUSDT,2017,2023,2023-02-25,2023-03-03,1557.33,1544.39,1677.86,5,2034,2023-03-14,2037,2023-03-17,2038,2023-03-18,1789.26,1528.9461000000001,260.3138999999999,2309.8877999999995,2049.5739,2077,2023-04-26,1789.26,breakeven,40,0.0,4.381188665336683,1140.4843081095862,0.0,7.839085631340314,7.839085631340314,15.678171262680628,-15.678171262680628,-0.013746941673110817,114048.43081095861,114040.59172532728,114016.98615155884,1140.4843081095862,0.01
DOGEUSDT,1354,1360,2023-03-21,2023-03-27,0.07031,0.07124,0.07922,3,1365,2023-04-01,1367,2023-04-03,1368,2023-04-04,0.09601,0.0696069,0.0264031,0.1488162,0.1224131,1405,2023-05-11,0.0696069,stop,38,-1.0,43192.122033142805,1140.4059172532727,-1140.4059172532727,4.146875636402041,3.006469719148768,7.153345355550809,-1147.5592626088235,-1.006272630865315,114040.59172532728,114036.44484969087,112861.95415208572,2280.890225362859,0.020000687394331505
SOLUSDT,964,969,2023-04-03,2023-04-08,19.94,19.85,21.34,2,972,2023-04-11,983,2023-04-22,984,2023-04-23,21.79,19.651500000000002,2.138499999999997,26.066999999999993,23.928499999999996,992,2023-05-01,21.79,breakeven,9,0.0,533.2543598302129,1140.3644484969088,0.0,11.61961250070034,11.61961250070034,23.23922500140068,-23.23922500140068,-0.020378770166004236,114036.44484969087,114024.82523719018,114005.36653905814,3421.2546738597675,0.03000141470886131
ETHUSDT,2099,2106,2023-05-18,2023-05-25,1771.12,1761.41,1872.5,5,2109,2023-05-28,2110,2023-05-29,2111,2023-05-30,1892.6,1743.7959,148.80409999999983,2190.2081999999996,2041.4040999999997,2122,2023-06-10,1743.7959,stop,12,-1.0,7.584599762512313,1128.6195415208572,-1128.6195415208572,14.354613510530802,13.225993969009945,27.580607479540745,-1156.200149000398,-1.0244374711449482,112861.95415208572,112847.59953857519,111705.75400308533,1128.6195415208572,0.01
BTCUSDT,2075,2099,2023-04-24,2023-05-18,26942.82,26361.2,30036.0,3,2135,2023-06-23,2136,2023-06-24,2137,2023-06-25,30527.44,26097.588,4429.851999999999,39387.144,34957.292,2190,2023-08-17,26097.588,stop,54,-1.0,0.25216588274977436,1117.0575400308533,-1117.0575400308533,7.697978855690772,6.580921315659918,14.278900171350688,-1131.336440202204,-1.0127826004119325,111705.75400308533,111698.05602422963,110558.9204061427,1117.0575400308533,0.01
ETHUSDT,2093,2122,2023-05-12,2023-06-10,1740.0,1715.03,1927.62,10,2142,2023-06-30,2144,2023-07-02,2145,2023-07-03,1937.49,1697.8797,239.61030000000005,2416.7106000000003,2177.1003,2190,2023-08-17,1697.8797,stop,46,-1.0,4.661655030031247,1116.9805602422964,-1116.9805602422964,9.031910004135241,7.914929443892945,16.946839448028186,-1133.9273996903246,-1.015172009300101,111698.05602422963,111689.0241142255,108311.78631881914,2234.0381002731497,0.020000689177513888
DOGEUSDT,1445,1453,2023-06-20,2023-06-28,0.06074,0.06013,0.07013,2,1468,2023-07-13,1470,2023-07-15,1471,2023-07-16,0.07196,0.059528700000000004,0.012431299999999992,0.09682259999999998,0.08439129999999999,1503,2023-08-17,0.059528700000000004,stop,33,-1.0,89845.00745233851,1116.890241142255,-1116.890241142255,6.465246736270279,5.348356495128024,11.813603231398304,-1128.7038443736533,-1.0105772284475476,111689.0241142255,111682.55886748922,109436.68180850532,3350.9283414154047,0.030002306564952848
BTCUSDT,2190,2195,2023-08-17,2023-08-22,25166.0,25300.0,26832.6,3,2202,2023-08-29,2203,2023-08-30,2204,2023-08-31,27299.99,24914.34,2385.6500000000015,32071.290000000005,29685.640000000003,2215,2023-09-11,24914.34,stop,12,-1.0,0.4540137334429572,1083.1178631881914,-1083.1178631881914,12.394570382855399,11.311452519667206,23.706022902522605,-1106.823886090714,-1.0218868358728228,108311.78631881914,108299.39174843629,107204.96243272843,1083.1178631881914,0.01
BTCUSDT,2205,2210,2023-09-01,2023-09-06,25333.75,25372.51,26135.0,5,2217,2023-09-13,2218,2023-09-14,2219,2023-09-15,26522.73,25080.4125,1442.317500000001,29407.365,27965.0475,2250,2023-10-16,29407.365,target,32,2.0,0.7432826852113237,1072.0496243272842,2144.0992486545683,19.71388597353493,21.857985222189498,41.57187119572443,2102.527377458844,1.9612220644899616,107204.96243272843,107185.2485467549,109247.63954874506,1072.0496243272842,0.009999999999999998
ETHUSDT,2205,2210,2023-09-01,2023-09-06,1602.33,1609.2,1648.02,3,2232,2023-09-28,2233,2023-09-29,2234,2023-09-30,1667.45,1586.3066999999999,81.14330000000018,1829.7366000000004,1748.5933000000002,2236,2023-10-02,1667.45,breakeven,3,0.0,13.209377551412706,1071.852485467549,0.0,22.025976598103117,22.025976598103117,44.051953196206235,-44.051953196206235,-0.041098895410958056,107185.2485467549,107163.2225701568,107141.19659355869,2143.9021097948334,0.020001839234991832
ETHUSDT,2215,2229,2023-09-11,2023-09-25,1531.01,1563.01,1669.5,10,2234,2023-09-30,2235,2023-10-01,2236,2023-10-02,1733.8,1515.6999,218.10009999999988,2170.0001999999995,1951.9000999999998,2296,2023-12-01,2051.95,time,60,1.458733856609878,4.912478104941664,1071.411965935587,1562.90490908719,8.517254538347858,10.080159447435047,18.597413985782907,1544.307495101407,1.4413760012031176,107141.19659355869,107132.67933902034,117305.32171497187,2143.461590262871,0.02000595157056269
