signal_time,support_time,support_price,entry_time,entry_fill,stop_ref,target,exit_time,exit_fill,exit_reason,net_pnl,r_multiple
2024-01-01 08:00:00+00:00,2023-12-31 00:00:00+00:00,38.58,2024-01-01 12:00:00+00:00,39.541859,38.42154,42.90281600000001,2024-01-02 04:00:00+00:00,42.88994515520001,target,3.30687025312241,2.824401960889553
2024-01-16 00:00:00+00:00,2024-01-14 04:00:00+00:00,35.8,2024-01-16 04:00:00+00:00,36.260875,35.5644,38.3503,2024-01-16 04:00:00+00:00,35.55373068,stop,-0.7430516228399942,-0.9999999999999978
2024-01-19 08:00:00+00:00,2024-01-10 12:00:00+00:00,33.32,2024-01-19 12:00:00+00:00,33.700106999999996,33.25671,35.03029799999999,2024-01-19 12:00:00+00:00,33.246732987,stop,-0.486847432993492,-0.9999999999999942
2024-01-27 08:00:00+00:00,2024-01-20 08:00:00+00:00,32.03,2024-01-27 12:00:00+00:00,32.329696,31.818150000000003,33.864333999999985,2024-01-28 00:00:00+00:00,33.854174699799984,target,1.4913867644500864,2.696118952041255
2024-01-29 12:00:00+00:00,2024-01-28 20:00:00+00:00,34.37,2024-01-29 16:00:00+00:00,35.810739999999996,34.30566,40.32597999999997,2024-01-31 08:00:00+00:00,34.29536830200001,stop,-1.550424752150987,-0.9999999999999983
2024-01-31 12:00:00+00:00,2024-01-29 12:00:00+00:00,34.34,2024-01-31 16:00:00+00:00,35.240568999999994,34.265699999999995,38.16517599999999,2024-01-31 20:00:00+00:00,34.255420289999996,stop,-1.0198967046449945,-0.9999999999999996
2024-02-08 00:00:00+00:00,2024-02-03 12:00:00+00:00,35.4,2024-02-08 04:00:00+00:00,35.500647,35.21475,36.358337999999996,2024-02-08 04:00:00+00:00,35.204185575000004,stop,-0.3318138412874955,-0.9999999999999865
2024-02-08 12:00:00+00:00,2024-02-03 12:00:00+00:00,35.4,2024-02-08 16:00:00+00:00,36.050812,35.13483,38.798758,2024-02-10 00:00:00+00:00,38.7871183726,target,2.6988874074136997,2.8051755080432303
2024-02-17 16:00:00+00:00,2024-02-13 16:00:00+00:00,38.88,2024-02-17 20:00:00+00:00,39.631885999999994,38.80116,42.12406399999997,2024-02-20 00:00:00+00:00,38.789519652,stop,-0.8815770508259912,-1.0000000000000022
2024-02-21 20:00:00+00:00,2024-02-20 12:00:00+00:00,36.84,2024-02-22 00:00:00+00:00,37.61128,36.58338,40.69498000000001,2024-02-22 12:00:00+00:00,36.572404986,stop,-1.0759668564930003,-1.0000000000000049
2024-02-24 04:00:00+00:00,2024-02-21 16:00:00+00:00,35.9,2024-02-24 08:00:00+00:00,36.380911,35.74422,38.290983999999995,2024-02-26 12:00:00+00:00,38.279496704799996,target,1.861255500947597,2.7232380326128305
2024-02-26 16:00:00+00:00,2024-02-17 12:00:00+00:00,38.38,2024-02-26 20:00:00+00:00,39.001697,38.1618,41.521388,2024-02-28 16:00:00+00:00,38.15035146,stop,-0.889921564229999,-1.0000000000000004
2024-02-28 20:00:00+00:00,2024-02-27 16:00:00+00:00,38.31,2024-02-29 00:00:00+00:00,40.342099,38.10186,47.062815999999984,2024-03-05 16:00:00+00:00,38.090429442,stop,-2.290885822220993,-0.9999999999999987
2024-03-23 04:00:00+00:00,2024-03-22 00:00:00+00:00,52.68,2024-03-23 08:00:00+00:00,55.036506,52.587360000000004,62.383944,2024-03-24 16:00:00+00:00,52.571583792000006,stop,-2.5187262528959984,-1.0000000000000018
2024-04-29 12:00:00+00:00,2024-04-27 00:00:00+00:00,33.08,2024-04-29 16:00:00+00:00,34.960485,32.996970000000005,40.85102999999998,2024-04-30 12:00:00+00:00,32.987070909,stop,-2.007387868954496,-1.0000000000000007
2024-05-02 08:00:00+00:00,2024-04-29 08:00:00+00:00,32.84,2024-05-02 12:00:00+00:00,33.780131000000004,32.5674,37.41832400000002,2024-05-04 16:00:00+00:00,37.40709850280002,target,3.591373888048615,2.8601253521391894
2024-05-11 12:00:00+00:00,2024-05-03 08:00:00+00:00,33.3,2024-05-11 16:00:00+00:00,33.820143,33.20676,35.660292,2024-05-12 04:00:00+00:00,33.196797972000006,stop,-0.6568534984859938,-0.9999999999999973
2024-05-31 16:00:00+00:00,2024-05-30 08:00:00+00:00,35.3,2024-05-31 20:00:00+00:00,36.150842,35.1648,39.10896799999999,2024-06-02 16:00:00+00:00,35.15425056,stop,-1.032243986279995,-1.0
2024-06-07 08:00:00+00:00,2024-06-05 12:00:00+00:00,35.93,2024-06-07 12:00:00+00:00,36.330895999999996,35.774190000000004,38.00101399999997,2024-06-07 12:00:00+00:00,35.763457743000004,stop,-0.603485433871493,-1.0000000000000053
2024-06-12 04:00:00+00:00,2024-06-08 20:00:00+00:00,31.92,2024-06-12 08:00:00+00:00,32.20966,31.67829,33.80377,2024-06-12 16:00:00+00:00,33.793628869,target,1.5509672245655002,2.7076340953939133
2024-06-27 12:00:00+00:00,2024-06-20 00:00:00+00:00,26.67,2024-06-27 16:00:00+00:00,27.848352,26.53344,31.793087999999997,2024-07-03 16:00:00+00:00,26.525479968,stop,-1.3500589479839997,-1.0000000000000004
2024-07-25 20:00:00+00:00,2024-07-16 08:00:00+00:00,26.47,2024-07-26 00:00:00+00:00,27.238169,26.31366,30.011696,2024-07-30 16:00:00+00:00,26.305765902,stop,-0.9591750654509993,-1.0000000000000009
2024-07-31 00:00:00+00:00,2024-07-25 16:00:00+00:00,26.26,2024-07-31 04:00:00+00:00,26.537959,26.16381,27.660406,2024-07-31 04:00:00+00:00,26.155960857000004,stop,-0.4083451029284954,-0.9999999999999932
2024-08-14 08:00:00+00:00,2024-08-09 12:00:00+00:00,21.29,2024-08-14 12:00:00+00:00,21.576470999999998,21.16881,22.79945399999999,2024-08-14 12:00:00+00:00,21.162459357000003,stop,-0.43538110817849535,-0.9999999999999974
2024-08-16 04:00:00+00:00,2024-08-12 00:00:00+00:00,20.3,2024-08-16 08:00:00+00:00,20.556165,20.13984,21.80514,2024-08-16 12:00:00+00:00,20.133798048,stop,-0.4427119335240011,-0.9999999999999982
2024-08-17 20:00:00+00:00,2024-08-13 08:00:00+00:00,20.6,2024-08-18 00:00:00+00:00,20.70621,20.4795,21.38633999999999,2024-08-18 12:00:00+00:00,21.37992409799999,target,0.652671030950991,2.575211785880039
