signal_time,support_time,support_price,entry_time,entry_fill,stop_ref,target,exit_time,exit_fill,exit_reason,net_pnl,r_multiple
2024-01-01 20:00:00+00:00,2023-12-24 04:00:00+00:00,43401.0,2024-01-02 00:00:00+00:00,44192.803865,43318.2384,45941.934795,2024-01-03 12:00:00+00:00,43305.24292848,stop,-931.3099599167434,-1.0000000000000075
2024-01-16 00:00:00+00:00,2024-01-14 04:00:00+00:00,42562.56,2024-01-16 04:00:00+00:00,42937.447370999995,42424.41312,43963.51587299999,2024-01-16 12:00:00+00:00,42411.685796064,stop,-568.4361415195283,-0.9999999999999936
2024-01-17 20:00:00+00:00,2024-01-14 04:00:00+00:00,42562.56,2024-01-18 00:00:00+00:00,42788.922826999995,42407.55,43551.66848099998,2024-01-18 08:00:00+00:00,42394.827735000006,stop,-436.6869672809882,-0.999999999999991
2024-01-21 16:00:00+00:00,2024-01-15 00:00:00+00:00,41718.05,2024-01-21 20:00:00+00:00,41731.905817,41483.475,42228.767451,2024-01-22 00:00:00+00:00,41471.0299575,stop,-302.4773273872435,-0.9999999999999973
2024-02-04 08:00:00+00:00,2024-02-03 12:00:00+00:00,42880.0,2024-02-04 12:00:00+00:00,43073.008026999996,42698.8584,43821.307280999994,2024-02-04 16:00:00+00:00,42686.04874248,stop,-429.8388129047378,-1.000000000000006
2024-02-05 04:00:00+00:00,2024-02-03 12:00:00+00:00,42880.0,2024-02-05 08:00:00+00:00,43084.791561,42599.358,44055.658682999994,2024-02-05 16:00:00+00:00,42586.5781926,stop,-541.0490532767984,-0.999999999999991
2024-02-06 12:00:00+00:00,2024-02-03 12:00:00+00:00,42880.0,2024-02-06 16:00:00+00:00,43257.863466999996,42615.342,44542.90640099999,2024-02-08 00:00:00+00:00,44529.543529079696,target,1227.7863585816626,1.7584110045456876
2024-02-23 08:00:00+00:00,2024-02-22 12:00:00+00:00,50940.78,2024-02-23 12:00:00+00:00,51234.305682,50779.17,52144.577046,2024-02-23 16:00:00+00:00,50763.936249,stop,-521.3685539655003,-1.0000000000000053
2024-02-23 16:00:00+00:00,2024-02-22 12:00:00+00:00,50940.78,2024-02-23 20:00:00+00:00,51114.41972699999,50578.70067,52185.85784099998,2024-02-23 20:00:00+00:00,50563.527059799,stop,-601.7316405943909,-0.999999999999997
2024-02-24 04:00:00+00:00,2024-02-22 12:00:00+00:00,50940.78,2024-02-24 08:00:00+00:00,51084.02060999999,50775.64353,51700.774769999975,2024-02-25 00:00:00+00:00,51685.264537568975,target,549.8592849952021,1.4681236889342972
2024-02-26 12:00:00+00:00,2024-02-25 16:00:00+00:00,51279.8,2024-02-26 16:00:00+00:00,52858.182699,50906.043,56762.462096999996,2024-02-27 00:00:00+00:00,56745.4333583709,target,3832.448851342217,1.8979227670162881
2024-03-03 08:00:00+00:00,2024-03-02 12:00:00+00:00,61561.12,2024-03-03 12:00:00+00:00,61849.64932999999,61332.43617,62884.07564999998,2024-03-03 16:00:00+00:00,62865.21042730498,target,953.2036674263313,1.596135420458008
2024-03-05 20:00:00+00:00,2024-03-03 04:00:00+00:00,61320.0,2024-03-06 00:00:00+00:00,63743.127203,61106.74209000001,69015.89742899998,2024-03-08 12:00:00+00:00,68995.19265977127,target,5185.696296839898,1.9085177205375068
2024-03-17 00:00:00+00:00,2024-03-15 08:00:00+00:00,65600.0,2024-03-17 04:00:00+00:00,66558.951697,65057.10777,69562.63955099999,2024-03-17 04:00:00+00:00,65037.590637669,stop,-1587.1593304983292,-1.0000000000000033
2024-03-17 08:00:00+00:00,2024-03-15 08:00:00+00:00,65600.0,2024-03-17 12:00:00+00:00,66975.57664700001,65224.71,70477.30994100003,2024-03-19 00:00:00+00:00,65205.142587,stop,-1836.5244196170074,-0.9999999999999991
2024-03-22 00:00:00+00:00,2024-03-15 08:00:00+00:00,65600.0,2024-03-22 04:00:00+00:00,66001.784597,65054.88999,67895.57381100001,2024-03-22 08:00:00+00:00,65035.37352300301,stop,-1031.9296530569993,-0.9999999999999998
2024-03-23 12:00:00+00:00,2024-03-17 04:00:00+00:00,64533.0,2024-03-23 16:00:00+00:00,65123.591217999994,64213.87185,66943.02995399997,2024-03-23 20:00:00+00:00,64194.60768844501,stop,-993.64262900821,-1.0000000000000027
2024-03-24 08:00:00+00:00,2024-03-17 04:00:00+00:00,64533.0,2024-03-24 12:00:00+00:00,65353.6002,64411.524,67237.7526,2024-03-24 20:00:00+00:00,67217.58127422,target,1797.6954834828957,1.7516745139683005
2024-03-29 16:00:00+00:00,2024-03-26 12:00:00+00:00,69280.0,2024-03-29 20:00:00+00:00,69686.889797,69009.54138,71041.586631,2024-03-31 16:00:00+00:00,71020.2741550107,target,1263.0307760346977,1.64588043317472
2024-04-01 16:00:00+00:00,2024-03-27 16:00:00+00:00,68359.18,2024-04-01 20:00:00+00:00,69668.904403,67994.79714,73017.11892899999,2024-04-02 00:00:00+00:00,67974.398700858,stop,-1763.3273536939273,-1.0000000000000058
2024-04-07 20:00:00+00:00,2024-03-29 12:00:00+00:00,69009.0,2024-04-08 00:00:00+00:00,69381.188114,68832.099,70479.36634200001,2024-04-08 04:00:00+00:00,70458.22253209741,target,1007.1147127743602,1.5764862825849684
2024-04-15 04:00:00+00:00,2024-04-12 16:00:00+00:00,65086.86,2024-04-15 08:00:00+00:00,66283.71915199999,64618.32699,69614.50347599997,2024-04-15 12:00:00+00:00,64598.941491903,stop,-1750.2189904189393,-0.9999999999999972
2024-04-18 12:00:00+00:00,2024-04-16 08:00:00+00:00,61600.0,2024-04-18 16:00:00+00:00,63517.739607,61519.12929,67514.96024100002,2024-04-19 00:00:00+00:00,61500.673551212996,stop,-2079.575262366114,-0.9999999999999987
2024-04-25 16:00:00+00:00,2024-04-21 16:00:00+00:00,64237.5,2024-04-25 20:00:00+00:00,64766.544136000004,63907.50852,66484.615368,2024-04-26 00:00:00+00:00,63888.33626744401,stop,-942.5353087577166,-0.999999999999997
2024-05-03 16:00:00+00:00,2024-04-29 12:00:00+00:00,61765.53,2024-05-03 20:00:00+00:00,62085.940195999996,61471.6668,63314.48698799999,2024-05-03 20:00:00+00:00,63295.49264190359,target,1146.8617294846429,1.6513856889734417
2024-05-13 12:00:00+00:00,2024-05-06 16:00:00+00:00,62700.0,2024-05-13 16:00:00+00:00,63020.9006,62336.95065,64388.800500000005,2024-05-14 04:00:00+00:00,62318.249564805,stop,-765.3206102774018,-1.0000000000000058
2024-05-15 12:00:00+00:00,2024-05-06 16:00:00+00:00,62700.0,2024-05-15 16:00:00+00:00,64744.537536,62339.62797,69554.35666800001,2024-05-20 16:00:00+00:00,69533.49036099961,target,4721.8138110511045,1.8984881685792943
2024-05-29 20:00:00+00:00,2024-05-28 16:00:00+00:00,67277.91,2024-05-30 00:00:00+00:00,67672.705723,67084.19865,68849.71986900001,2024-05-30 16:00:00+00:00,68829.06495303931,target,1088.1083447012797,1.60962600933007
2024-05-31 16:00:00+00:00,2024-05-30 08:00:00+00:00,67128.0,2024-05-31 20:00:00+00:00,67701.3043,66603.33,69897.2529,2024-06-03 12:00:00+00:00,69876.28372413001,target,2106.19063011795,1.777229642968766
2024-06-06 20:00:00+00:00,2024-06-05 12:00:00+00:00,70383.66,2024-06-07 00:00:00+00:00,70820.299718,70047.52236,72365.85443399998,2024-06-07 16:00:00+00:00,70026.508103292,stop,-864.2150186186457,-1.0000000000000016
2024-06-15 00:00:00+00:00,2024-06-13 16:00:00+00:00,66251.78,2024-06-15 04:00:00+00:00,66287.750361,65901.5325,67060.186083,2024-06-15 20:00:00+00:00,65881.76204025,stop,-472.07307695062275,-1.0000000000000133
2024-06-16 04:00:00+00:00,2024-06-13 16:00:00+00:00,66251.78,2024-06-16 08:00:00+00:00,66286.17989,65968.4655,66921.60866999999,2024-06-16 20:00:00+00:00,66901.53218739899,target,548.758441360295,1.3595838578834962
2024-06-20 04:00:00+00:00,2024-06-14 16:00:00+00:00,65078.0,2024-06-20 08:00:00+00:00,65878.597652,65005.83909,67624.11477599999,2024-06-20 12:00:00+00:00,64986.337338273006,stop,-957.6927812221251,-1.0000000000000047
2024-06-20 16:00:00+00:00,2024-06-19 20:00:00+00:00,64666.0,2024-06-20 20:00:00+00:00,65069.504997,64494.59085,66219.33329099999,2024-06-21 00:00:00+00:00,64475.242472745005,stop,-659.0348979898654,-1.0000000000000067
2024-06-22 00:00:00+00:00,2024-06-18 16:00:00+00:00,64060.0,2024-06-22 04:00:00+00:00,64346.758237999995,63879.87618,65280.522353999986,2024-06-23 20:00:00+00:00,63860.712217146,stop,-550.1497560815715,-1.000000000000009
2024-07-02 08:00:00+00:00,2024-07-01 12:00:00+00:00,62497.2,2024-07-02 12:00:00+00:00,62850.859603,62338.82877,63874.92126899999,2024-07-02 12:00:00+00:00,62320.127121369005,stop,-593.3179749931729,-0.9999999999999934
2024-07-12 12:00:00+00:00,2024-07-11 00:00:00+00:00,57050.0,2024-07-12 16:00:00+00:00,58231.454197,56943.0,60808.362591,2024-07-14 20:00:00+00:00,60790.1200822227,target,2499.1550980830857,1.8334136614773042
2024-07-18 20:00:00+00:00,2024-07-17 16:00:00+00:00,63854.0,2024-07-19 00:00:00+00:00,64007.116376,63374.77179,65271.805548,2024-07-19 00:00:00+00:00,63355.759358463,stop,-715.0384554042319,-1.0000000000000047
2024-07-23 20:00:00+00:00,2024-07-21 16:00:00+00:00,65777.0,2024-07-24 00:00:00+00:00,65955.7808,65407.06746,67053.20747999998,2024-07-24 12:00:00+00:00,67033.09151775598,target,1010.8162815971132,1.5943296599567538
2024-07-30 04:00:00+00:00,2024-07-27 20:00:00+00:00,66650.0,2024-07-30 08:00:00+00:00,66972.08559999999,66256.16751,68403.92177999998,2024-07-30 12:00:00+00:00,66236.290659747,stop,-802.3991283828698,-1.0000000000000107
