signal_time,support_time,support_price,entry_time,entry_fill,stop_ref,target,exit_time,exit_fill,exit_reason,net_pnl,r_multiple
2024-06-21 00:00:00+00:00,2024-06-14 00:00:00+00:00,1.057e-05,2024-06-22 00:00:00+00:00,1.1423426000000001e-05,1.052946e-05,1.4105324000000003e-05,2024-06-24 00:00:00+00:00,1.0526301162e-05,stop,-9.080997015810003e-07,-1.0000000000000002
2024-07-16 00:00:00+00:00,2024-06-07 00:00:00+00:00,1.116e-05,2024-07-17 00:00:00+00:00,1.2373711e-05,1.109889e-05,1.6198174e-05,2024-07-25 00:00:00+00:00,1.1095560333000002e-05,stop,-1.289885302666498e-06,-0.9999999999999996
2024-12-23 00:00:00+00:00,2024-11-26 00:00:00+00:00,1.729e-05,2024-12-24 00:00:00+00:00,1.8475541000000002e-05,1.721277e-05,2.2263854000000006e-05,2024-12-26 00:00:00+00:00,1.7207606169e-05,stop,-1.2857764045845014e-06,-0.9999999999999996
2025-01-10 00:00:00+00:00,2024-12-26 00:00:00+00:00,1.704e-05,2025-01-11 00:00:00+00:00,1.7645292e-05,1.6973010000000002e-05,1.9662137999999993e-05,2025-01-13 00:00:00+00:00,1.6967918097000004e-05,stop,-6.946805080484955e-07,-0.9999999999999991
2025-07-10 00:00:00+00:00,2025-05-31 00:00:00+00:00,1.095e-05,2025-07-11 00:00:00+00:00,1.240372e-05,1.0879110000000001e-05,1.6977549999999995e-05,2025-07-30 00:00:00+00:00,1.0875846267000002e-05,stop,-1.5395135161334976e-06,-1.0000000000000004
2025-08-04 00:00:00+00:00,2025-06-05 00:00:00+00:00,1.037e-05,2025-08-05 00:00:00+00:00,1.0753225e-05,1.032966e-05,1.2023920000000005e-05,2025-08-05 00:00:00+00:00,1.0326561102e-05,stop,-4.3720379105100167e-07,-1.0000000000000016
2025-08-09 00:00:00+00:00,2025-07-15 00:00:00+00:00,1.166e-05,2025-08-10 00:00:00+00:00,1.240372e-05,1.161837e-05,1.4759769999999997e-05,2025-08-11 00:00:00+00:00,1.1614884489e-05,stop,-8.008448132444997e-07,-1.0000000000000016
2025-08-22 00:00:00+00:00,2025-08-02 00:00:00+00:00,9.86e-06,2025-08-23 00:00:00+00:00,1.1583473999999999e-05,9.800189999999999e-06,1.6933326e-05,2025-08-25 00:00:00+00:00,9.797249942999999e-06,stop,-1.7969144189715003e-06,-1.0000000000000004
2025-08-28 00:00:00+00:00,2025-08-06 00:00:00+00:00,9.96e-06,2025-08-29 00:00:00+00:00,1.0213063000000001e-05,9.90009e-06,1.1151982000000005e-05,2025-08-29 00:00:00+00:00,9.897119973e-06,stop,-3.259981184865015e-07,-1.0000000000000002
2025-09-08 00:00:00+00:00,2025-08-02 00:00:00+00:00,9.86e-06,2025-09-09 00:00:00+00:00,1.0303089999999999e-05,9.800189999999999e-06,1.1811789999999999e-05,2025-09-13 00:00:00+00:00,1.1808246462999999e-05,target,1.4941007947684996e-06,2.896160300495557
2026-03-16 00:00:00+00:00,2026-02-11 00:00:00+00:00,3.46e-06,2026-03-17 00:00:00+00:00,4.0012e-06,3.44655e-06,5.6651499999999995e-06,2026-03-18 00:00:00+00:00,3.445516035e-06,stop,-5.594073230174996e-07,-1.0
